NPAID	SMILES
NPA020693	CC[C@@H](C)[C@@H](C(=O)N[C@H]1[C@@H](OC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)/C(=C\C)/NC(=O)[C@H](NC(=O)[C@H](NC(=O)[C@@H](NC1=O)[C@@H](C)O)CO)[C@H](C(C)C)O)CO)[C@H](C2=CNC3=CC=CC=C32)O)CCCN)CC4=CC=CC=C4)C(C)C)N
NPA020694	C[C@@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)O[C@@H]2[C@H](C3=C(C4=C(C(=C(C=C24)C)C(=O)NCC(=O)O)O)C(=C5C(=C3)C(=O)C6=C(C=C(C=C6C5=O)OC)O)O)O)O)O[C@H]7[C@@H]([C@H]([C@@H](CO7)O)O)O)N
NPA020695	CC1C(C(C(C(O1)OC2C(C3=C(C4=C(C(=C(C=C24)C)C(=O)NCC(=O)O)O)C(=C5C(=C3)C(=O)C6=C(C=C(C=C6C5=O)OC)O)O)O)O)OC7C(C(C(CO7)O)O)O)NC
NPA020696	C[C@@H]1C[C@H]1/C=C\[C@H]2C[C@@H]2[C@@H]3C[C@H]3[C@H]4C[C@H]4[C@@H]5C[C@@H]5/C=C/C=C/C(=O)NC[C@H]6[C@@H]([C@H]([C@@H](O6)N7CCC(=O)NC7=O)O)O
NPA020697	CC1CCC(C(C(CC(C(/C=C/C(C(C(=O)OC(C(/C=C/C=C\C(C(C(CC(CC(CC2CC(C(C(O2)(CC1O)O)O)O)O)O)O)C)O)C)C(C)CC(C)CCC/C=C/CCCNC(=NC)N)C)O)C)O)O)C)O
NPA020698	CC1CCC(C(C(CC(C(/C=C\C(C(C(=O)OC(C(/C=C\C=C/C(C(C(CC(CC2CC3CC(C(C(O3)(CC1O)O)OC(=O)CC(=O)O2)O)O)O)C)O)C)C(C)CC(C)CCC/C=C/CCCNC(=NC)N)C)O)C)O)O)C)O.C(C(=O)O)C(=O)O
NPA020699	CC(C(=O)NC(C)C(=O)O)NC(=O)C(CCCC(C(=O)N)N)N
NPA020700	CC[C@H]([C@@]1(C[C@H]([C@@](O1)([C@H]2C[C@H]([C@@H](O2)[C@]3(CC[C@H](O3)[C@@H]4CC[C@]5(O4)[C@@H]([C@@H]([C@@H]([C@H](O5)[C@@H](C)[C@@H]([C@H](C)C(=O)O)OC)C)OC)C)C)C)O)C)C)O
NPA020701	CC(=C[C@H]1O[C@@]2(COC3=C(O2)C=C(C=C3)/C=C/C=C(/C)\C(=C/OC)\C(=O)OC)C(O1)(C)C)C
NPA020702	CC(C)C[C@@H](C(=O)N1CCC[C@@H]1C(=O)N2CCC[C@@H]2C(=O)O)NC(=O)[C@@H]([C@@H](CC3=CC=CC=C3)N)O
NPA020703	CC1=C(C(=C(C(=C1CC[C@@H](C)O)O)C)O)C(=O)SC
NPA020704	C[C@@H]1[C@H]([C@@H](C[C@@H](O1)O[C@H]2[C@@H](CC3=C(C2=O)C(=C4C(=C3)C=C(C(=C4O)C)O[C@H]5C[C@H]([C@H]([C@H](O5)C)O)O[C@@H]6C[C@H]([C@@H]([C@@H](O6)C)OC)O)O)[C@@H](C(=O)[C@@H]([C@@H](C)O)O)OC)O[C@H]7C[C@H]([C@H]([C@H](O7)C)O)O[C@H]8C[C@]([C@H]([C@@H](O8)C)O)(C)O)O
NPA020705	C[C@@H]1[C@@H]([C@@H](C[C@H](O1)O[C@@H]2[C@@H](CC3=C(C2=O)C(=C4C(=C3)C=C(C(=C4O)C)O[C@@H]5C[C@H]([C@@H]([C@H](O5)C)O)O[C@H]6C[C@H]([C@H]([C@H](O6)C)OC)O)O)[C@@H](C(=O)[C@@H]([C@@H](C)O)O)OC)O[C@@H]7C[C@H]([C@H]([C@H](O7)C)O)O[C@H]8C[C@@]([C@@H]([C@H](O8)C)OC(=O)C)(C)O)O
NPA020706	C1=CC(=CC=C1C[C@@H](C(=O)N[C@H]([C@@H]2[C@@H]([C@H]([C@@H](O2)N3C=C(NC3=O)C=O)O)O)C(=O)O)N)O
NPA020707	C1=CC(=CC=C1C[C@@H](C(=O)N[C@@H]([C@@H]2[C@@H]([C@H]([C@@H](O2)N3C=CC(=O)NC3=O)O)O)C(=O)O)N)O
NPA020708	CC(C)CC[C@H]([C@@H]1[C@H](COC1=O)CO)O
NPA020709	CCCCCC[C@@H]([C@H]1[C@@H](COC1=O)CO)O
NPA020710	CC[C@@H]1[C@@H](/C=C/C=C\C(=O)[C@@H](C[C@H]([C@H]([C@@H](/C=C/C(=O)O1)C)O[C@@H]2[C@H]([C@@H](C[C@@H](O2)C)N(C)C)O)C)C)C
NPA020711	CC(C)[C@H]1C(=O)OC[C@@H](C(=O)N2CCCC[C@@H]2C(=O)NCC(=O)N(CC(=O)N([C@@H](C(=O)OC[C@H](C(=O)N3CCCC[C@@H]3C(=O)NCC(=O)N(CC(=O)N1C)C)NC(=O)C4=NC5=CC=CC=C5C=C4O)C(C)C)C)C)NC(=O)C6=NC7=CC=CC=C7C=C6O
NPA020712	C[C@H]\1C[C@@H](C(=O)N/C1=C\C(=O)CC2CC(=O)NC(=O)C2)C
NPA020713	C[C@@]1(CS[C@H](N1C)[C@@H]2CSC(=N2)C3=CC=CC=C3O)C(=O)O
NPA020714	C[C@@]1(CS[C@@H](N1C)[C@@H]2CSC(=N2)C3=CC=CC=C3O)C(=O)O
NPA020715	CC(=CCC1=C(C=C(C(=C1)O)C#CC(=C)C)O)C
NPA020716	C[C@H]1C2=NC(=CS2)C(=O)NC(=C)C(=O)NC(=C)C3=NC(=CO3)C4=C(C=CC(=N4)C(=O)NC(=C)C(=O)NC(=C)C(=O)NC(=C)C(=O)NC(=C)C(=O)O)C5=NC(=CS5)C(=O)N[C@@H](C(=O)N[C@@H](C6=NC(=CO6)C(=O)NCC7=NC(=CS7)C(=O)N1)CSC)[C@@H](C)O
NPA020717	CC[C@H](C)[C@H]1C(=O)O[C@@H]([C@H](C(=O)NC(C(=O)N[C@@H](C(=O)N1)[C@H](C(C)C)O)[C@@H](C2=CC=C(C=C2)O)O)NC(=O)[C@H]([C@@H](C(=O)N)O)NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@@H](CC(C)C)NC(=O)[C@H](C)N)C(=O)N
NPA020718	C(C[N+](=NO)[O-])[C@@H](C(=O)O)N
NPA020719	CC1=CC(=C2C3=C1C(=CC(=C3C(=O)[C@@](C2=O)(CC(=O)C)O)O)OC)O
NPA020720	C1[C@H]([C@H]([C@@H]([C@H](N1)CO)O)O)O
